GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.boundary.resources,JakartaEE10Resource,2,3,0,0,1,1,1,1,1,1
PupaSv-1.0-SNAPSHOT,default,ConstantesGlobales,21,0,0,0,6,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.boundary.resources.rest,AbstracDataSource,261,0,24,0,51,0,18,0,6,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.boundary.resources.rest,OrdenResource,11,0,0,0,4,0,4,0,4,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.boundary.resources.rest,OrdenDetalleResource,65,0,8,0,12,0,6,0,2,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.boundary.resources.rest,ProductoResource,11,0,0,0,4,0,4,0,4,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.boundary.resources.rest,TipoProductoResource,11,0,0,0,4,0,4,0,4,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.boundary.resources.rest,TipicosApp,3,0,0,0,1,0,1,0,1,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.boundary.resources.rest,CORSFilter,43,0,2,0,13,0,3,0,2,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,ProductoDetalleBean,9,0,0,0,4,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,AbstractDataAccess,25,350,3,23,5,93,3,18,0,8
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,ComboDetallePKBean,9,0,0,0,4,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,OrdenBean,0,9,0,0,0,4,0,3,0,3
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,ProductoDetallePKBean,9,0,0,0,4,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,PagoDetalleBean,13,0,0,0,6,0,4,0,4,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,OrdenDetallePKBean,9,0,0,0,4,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,TipoProductoBean,9,0,0,0,4,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,ProductoPrecioBean,9,0,0,0,4,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,PagoBean,9,0,0,0,4,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,ComboBean,9,0,0,0,4,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,ComboDetalleBean,9,0,0,0,4,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,ProductoBean,9,0,0,0,4,0,3,0,3,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.control,OrdenDetalleBean,35,0,0,0,12,0,4,0,4,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.rest,JakartaRestConfiguration,3,0,0,0,1,0,1,0,1,0
PupaSv-1.0-SNAPSHOT,sv.edu.ues.occ.ingenieria.tpi135_2025.entity,ProductoDetallePK,72,0,6,0,25,0,12,0,9,0
